query,intent
buhbye,goodbye
see you in a while,goodbye
see you around,goodbye
nice to see you again,goodbye
nice to see you,goodbye
talk later,goodbye
tootles,goodbye
peace out,goodbye
goodbye for now dearbot,goodbye
dearbot goodbye,goodbye
i'll talk to you later dearbot,goodbye
we'll talk later dearbot,goodbye
i have to go dearbot goodbye,goodbye
bye bye!,goodbye
see you later!,goodbye

